class_folder,class_name,filename,severity_ratio,severity_percent,grade,leaf_pixels,disease_pixels
Tomato___Bacterial_spot,Bacterial Spot,6fbea9aa-cc3b-46be-a066-a762cd659113___GCREC_Bact.Sp 6024_final_masked.jpg,0.0018,0.18,Mild,23460,43
Tomato___Bacterial_spot,Bacterial Spot,7140eec5-60f1-49bb-a0dd-4cea65897848___UF.GRC_BS_Lab Leaf 9310_final_masked.jpg,0.0187,1.87,Mild,22352,419
Tomato___Bacterial_spot,Bacterial Spot,722f1c0d-d487-4209-b2cc-6d9ce7d2ecaa___GCREC_Bact.Sp 6238_final_masked.jpg,0.0,0.0,Mild,25088,0
Tomato___Bacterial_spot,Bacterial Spot,741e2f09-1b62-42c2-b218-6504d57c0f27___GCREC_Bact.Sp 3302_final_masked.jpg,0.0,0.0,Mild,23014,0
Tomato___Bacterial_spot,Bacterial Spot,744d7841-7130-4c98-b20f-0f6581115783___GCREC_Bact.Sp 5618_final_masked.jpg,0.0,0.0,Mild,24096,0
Tomato___Bacterial_spot,Bacterial Spot,7515d9e0-f3a4-4a49-9d6a-77cfa40a16a4___GCREC_Bact.Sp 3655_final_masked.jpg,0.0009,0.09,Mild,25741,22
Tomato___Bacterial_spot,Bacterial Spot,7624a9cd-018d-467a-99f9-2255a27103a4___GCREC_Bact.Sp 3725_final_masked.jpg,0.0002,0.02,Mild,32320,5
Tomato___Bacterial_spot,Bacterial Spot,7688c6b6-910a-4f6f-854e-e00bf11ce9b0___UF.GRC_BS_Lab Leaf 9045_final_masked.jpg,0.0046,0.46,Mild,21484,98
Tomato___Bacterial_spot,Bacterial Spot,76bf0511-84d8-4609-94e6-248bea3d1465___GCREC_Bact.Sp 6032_final_masked.jpg,0.0,0.0,Mild,22719,0
Tomato___Bacterial_spot,Bacterial Spot,79466870-1413-4b75-93e6-31b827cfa3ac___GCREC_Bact.Sp 6043_final_masked.jpg,0.0522,5.22,Mild,23603,1231
Tomato___Bacterial_spot,Bacterial Spot,79d8d47a-c8c9-450d-a567-d096b307c532___GCREC_Bact.Sp 2973_final_masked.jpg,0.0,0.0,Mild,22133,0
Tomato___Bacterial_spot,Bacterial Spot,7a0193fd-9941-4800-b425-aafa3a998737___GCREC_Bact.Sp 5774_final_masked.jpg,0.0,0.0,Mild,20475,0
Tomato___Bacterial_spot,Bacterial Spot,7b617326-7dad-416a-99cd-d825f1ea2ec3___GCREC_Bact.Sp 3236_final_masked.jpg,0.0008,0.08,Mild,24052,19
Tomato___Bacterial_spot,Bacterial Spot,7b729ecb-5dce-4b92-afa0-4dce3ae45b10___UF.GRC_BS_Lab Leaf 0340_final_masked.jpg,0.0257,2.57,Mild,11302,290
Tomato___Bacterial_spot,Bacterial Spot,7e423f77-2947-4e4e-9777-17a780996d39___GCREC_Bact.Sp 5600_final_masked.jpg,0.0,0.0,Mild,23065,0
Tomato___Bacterial_spot,Bacterial Spot,7f4bdfa1-5d50-476f-9e79-1dbe00572974___GCREC_Bact.Sp 3004_final_masked.jpg,0.0,0.0,Mild,23821,0
Tomato___Bacterial_spot,Bacterial Spot,85b919f4-8fb1-45dc-9b78-71d89a65f4ac___GCREC_Bact.Sp 3849_final_masked.jpg,0.002,0.2,Mild,27467,56
Tomato___Bacterial_spot,Bacterial Spot,86bcf005-a793-4d1f-a767-99548b4c3aa6___GCREC_Bact.Sp 3131_final_masked.jpg,0.0,0.0,Mild,25135,0
Tomato___Bacterial_spot,Bacterial Spot,8a4441e3-8f4f-4f3c-9746-3014cf12337e___GCREC_Bact.Sp 5565_final_masked.jpg,0.012,1.2,Mild,28640,345
Tomato___Bacterial_spot,Bacterial Spot,8c1a0a73-26c9-405e-8957-8dd58df6bdf4___GCREC_Bact.Sp 3738_final_masked.jpg,0.0,0.0,Mild,28675,0
Tomato___Bacterial_spot,Bacterial Spot,8c2d8590-4fb3-4670-b2f0-384df42eb3a7___GCREC_Bact.Sp 5921_final_masked.jpg,0.0,0.0,Mild,23250,0
Tomato___Bacterial_spot,Bacterial Spot,8c9f86a5-70df-4ab0-bb33-1bd4ea9cb91e___UF.GRC_BS_Lab Leaf 0846_final_masked.jpg,0.0407,4.07,Mild,27763,1130
Tomato___Bacterial_spot,Bacterial Spot,8d5d586c-35ad-4cf2-99f7-a8d92f56a306___GCREC_Bact.Sp 3145_final_masked.jpg,0.02,2.0,Mild,25762,514
Tomato___Bacterial_spot,Bacterial Spot,8eea255c-3cb6-49bf-938c-da2b85dfe40a___UF.GRC_BS_Lab Leaf 0294_final_masked.jpg,0.0008,0.08,Mild,12678,10
Tomato___Bacterial_spot,Bacterial Spot,90c73b3d-1467-4c37-81d0-a264e13348a6___GCREC_Bact.Sp 3147_final_masked.jpg,0.1186,11.86,Mild,26909,3191
Tomato___Bacterial_spot,Bacterial Spot,91d2b551-c853-41b2-80b5-f982f6c30553___GCREC_Bact.Sp 2983_final_masked.jpg,0.0,0.0,Mild,22545,0
Tomato___Bacterial_spot,Bacterial Spot,93f19f54-a7c0-4eed-b7d7-6acfe9e2a2d7___GCREC_Bact.Sp 5827_final_masked.jpg,0.0,0.0,Mild,27451,0
Tomato___Bacterial_spot,Bacterial Spot,94b68133-38b9-41e4-bb22-131f28bcba20___GCREC_Bact.Sp 6292_final_masked.jpg,0.0,0.0,Mild,22440,0
Tomato___Bacterial_spot,Bacterial Spot,959b1a2d-0324-4525-94e6-90c8749cbb29___GCREC_Bact.Sp 5882_final_masked.jpg,0.0047,0.47,Mild,28348,132
Tomato___Bacterial_spot,Bacterial Spot,99044ddb-da2a-4b32-bc11-67e57cb2b807___UF.GRC_BS_Lab Leaf 0749_final_masked.jpg,0.0227,2.27,Mild,24094,547
Tomato___Bacterial_spot,Bacterial Spot,990e1cbf-b978-478e-b332-d12b3855fd57___GCREC_Bact.Sp 6223_final_masked.jpg,0.0016,0.16,Mild,29722,48
Tomato___Bacterial_spot,Bacterial Spot,99187376-a5c2-41a7-9eb5-73cc0b2e5c2d___GCREC_Bact.Sp 3137_final_masked.jpg,0.0,0.0,Mild,22302,0
Tomato___Bacterial_spot,Bacterial Spot,9f3071fe-2426-4ab2-9685-d3bbed8163f3___GCREC_Bact.Sp 6172_final_masked.jpg,0.0,0.0,Mild,28365,0
Tomato___Bacterial_spot,Bacterial Spot,9f3bb55d-b52d-4be3-b89b-e7c8cbe8e131___GCREC_Bact.Sp 3112_final_masked.jpg,0.0,0.0,Mild,23443,0
Tomato___Bacterial_spot,Bacterial Spot,9fd8050c-519c-491b-a4a7-fa7090623f89___GCREC_Bact.Sp 3045_final_masked.jpg,0.0,0.0,Mild,23681,0
Tomato___Bacterial_spot,Bacterial Spot,a114e770-fcce-48a2-8ffc-a665fae9e7f9___UF.GRC_BS_Lab Leaf 0977_final_masked.jpg,0.0716,7.16,Mild,24240,1736
Tomato___Bacterial_spot,Bacterial Spot,a1d009f1-ed05-40a3-a0c0-68c4a36c0ca2___GCREC_Bact.Sp 3381_final_masked.jpg,0.1058,10.58,Mild,26265,2779
Tomato___Bacterial_spot,Bacterial Spot,a1d8e2a7-c4c9-42d2-8a0d-bcf04053412f___GCREC_Bact.Sp 5672_final_masked.jpg,0.0,0.0,Mild,20357,0
Tomato___Bacterial_spot,Bacterial Spot,a2e2a626-aafb-4383-8fa8-cc4d2071348a___GCREC_Bact.Sp 3125_final_masked.jpg,0.0,0.0,Mild,25900,0
Tomato___Bacterial_spot,Bacterial Spot,a3f46db1-a45c-4afa-9c80-86b4169459b9___GCREC_Bact.Sp 5754_final_masked.jpg,0.0,0.0,Mild,22325,0
Tomato___Bacterial_spot,Bacterial Spot,a41bdd7e-869b-4341-8023-cfd057efd537___GCREC_Bact.Sp 6278_final_masked.jpg,0.0,0.0,Mild,23807,0
Tomato___Bacterial_spot,Bacterial Spot,a4b7b495-fe70-4c3e-9ab8-e9a290fdf87f___GCREC_Bact.Sp 5610_final_masked.jpg,0.0163,1.63,Mild,24362,397
Tomato___Bacterial_spot,Bacterial Spot,a6d6640b-c086-44f5-a53f-8cb59f72a7b4___GCREC_Bact.Sp 5886_final_masked.jpg,0.0,0.0,Mild,24172,0
Tomato___Bacterial_spot,Bacterial Spot,a7c50117-d297-469d-8a1c-6ec7a5a6f2df___GCREC_Bact.Sp 5769_final_masked.jpg,0.0,0.0,Mild,22057,0
Tomato___Bacterial_spot,Bacterial Spot,af614af9-a200-4887-a394-13667ecbc8f7___GCREC_Bact.Sp 6000_final_masked.jpg,0.0,0.0,Mild,24729,0
Tomato___Bacterial_spot,Bacterial Spot,b042ebf8-61a8-4b00-a544-0704f299e96f___GCREC_Bact.Sp 5954_final_masked.jpg,0.0,0.0,Mild,25519,0
Tomato___Bacterial_spot,Bacterial Spot,b1bc2e49-8946-48ee-8b44-8f54270b2d84___GCREC_Bact.Sp 5999_final_masked.jpg,0.0,0.0,Mild,24298,0
Tomato___Bacterial_spot,Bacterial Spot,b2e02801-9306-4703-b1cd-d9247fa17a11___GCREC_Bact.Sp 6296_final_masked.jpg,0.0211,2.11,Mild,23659,499
Tomato___Bacterial_spot,Bacterial Spot,b6693ee1-8345-4796-9b9b-33d968e1e66f___GCREC_Bact.Sp 3097_final_masked.jpg,0.0,0.0,Mild,25496,0
Tomato___Bacterial_spot,Bacterial Spot,b7c4e0c0-a388-44e8-9c5c-d2db995557ab___GCREC_Bact.Sp 3667_final_masked.jpg,0.0029,0.29,Mild,29365,84
Tomato___Bacterial_spot,Bacterial Spot,b8223dd9-c0f5-4e25-8057-1b0bbce7517f___GCREC_Bact.Sp 3402_final_masked.jpg,0.0111,1.11,Mild,20727,231
Tomato___Bacterial_spot,Bacterial Spot,bd5b5a19-a9b0-4572-9920-8ed728c15804___GCREC_Bact.Sp 3653_final_masked.jpg,0.0002,0.02,Mild,24782,5
Tomato___Bacterial_spot,Bacterial Spot,be485aa1-5ab6-45d4-931c-e9d90a7b5488___GCREC_Bact.Sp 3455_final_masked.jpg,0.0,0.0,Mild,23860,0
Tomato___Bacterial_spot,Bacterial Spot,bea776af-8c63-4376-a7f2-7cbd0e15e743___GCREC_Bact.Sp 3631_final_masked.jpg,0.0033,0.33,Mild,22205,74
Tomato___Bacterial_spot,Bacterial Spot,c04f4774-dbfd-4ab0-98fd-437759b1b7f7___UF.GRC_BS_Lab Leaf 9114_final_masked.jpg,0.0359,3.59,Mild,19234,690
Tomato___Bacterial_spot,Bacterial Spot,c09afee4-a828-477f-af2c-00b11804364f___GCREC_Bact.Sp 6006_final_masked.jpg,0.0,0.0,Mild,26068,0
Tomato___Bacterial_spot,Bacterial Spot,c10643e1-3d5a-40f6-9357-57aadd3d6721___GCREC_Bact.Sp 3727_final_masked.jpg,0.0046,0.46,Mild,25249,117
Tomato___Bacterial_spot,Bacterial Spot,c4bc02dc-f1bd-43a5-8236-02f6faa88ab8___GCREC_Bact.Sp 3298_final_masked.jpg,0.0124,1.24,Mild,18105,225
Tomato___Bacterial_spot,Bacterial Spot,c53b64d9-37ef-4269-b809-00e59c2a033f___GCREC_Bact.Sp 3337_final_masked.jpg,0.0045,0.45,Mild,26861,120
Tomato___Bacterial_spot,Bacterial Spot,c54f03c5-9eef-4036-bff3-49b3a3867b88___UF.GRC_BS_Lab Leaf 9279_final_masked.jpg,0.001,0.1,Mild,16556,16
Tomato___Bacterial_spot,Bacterial Spot,c9270cd9-e0ec-4aee-9411-a7977c2b9af8___GCREC_Bact.Sp 3706_final_masked.jpg,0.0005,0.05,Mild,29401,15
Tomato___Bacterial_spot,Bacterial Spot,cb70e79d-a282-448e-a300-7f880a08cd70___GCREC_Bact.Sp 6332_final_masked.jpg,0.0,0.0,Mild,25885,0
Tomato___Bacterial_spot,Bacterial Spot,cdd6b4c8-6be0-4cc8-81a7-4e0c5ba16fed___GCREC_Bact.Sp 5982_final_masked.jpg,0.0,0.0,Mild,28057,0
Tomato___Bacterial_spot,Bacterial Spot,cfe7ebae-8e0f-4b12-8aae-d76fd249b2c4___GCREC_Bact.Sp 6342_final_masked.jpg,0.0,0.0,Mild,23263,0
Tomato___Bacterial_spot,Bacterial Spot,d00cf182-48a5-49c6-a092-a3e0044c0d05___GCREC_Bact.Sp 3001_final_masked.jpg,0.0002,0.02,Mild,23341,5
Tomato___Bacterial_spot,Bacterial Spot,d0ce6851-bf97-4410-94f3-ccdcddd2a0fe___GCREC_Bact.Sp 3424_final_masked.jpg,0.0,0.0,Mild,26061,0
Tomato___Bacterial_spot,Bacterial Spot,d2cbc8f4-b632-47de-bc45-edeb4f0911f1___GCREC_Bact.Sp 5994_final_masked.jpg,0.0,0.0,Mild,24671,0
Tomato___Bacterial_spot,Bacterial Spot,d3969371-05ad-4097-8390-5d4124d19a9e___GCREC_Bact.Sp 3224_final_masked.jpg,0.002,0.2,Mild,25288,50
Tomato___Bacterial_spot,Bacterial Spot,d4887ae0-982c-46a0-9b3c-5b6a331ebd0f___GCREC_Bact.Sp 3359_final_masked.jpg,0.0486,4.86,Mild,20687,1006
Tomato___Bacterial_spot,Bacterial Spot,d5291fc4-6702-407a-a09f-1c8e2e7455fc___GCREC_Bact.Sp 5642_final_masked.jpg,0.0055,0.55,Mild,23038,127
Tomato___Bacterial_spot,Bacterial Spot,d603ca14-5a43-4931-b046-a424eb4c0b96___GCREC_Bact.Sp 6240_final_masked.jpg,0.0002,0.02,Mild,24399,5
Tomato___Bacterial_spot,Bacterial Spot,d8a90b81-eb30-461d-80ba-4fa9c93f379d___GCREC_Bact.Sp 3757_final_masked.jpg,0.0128,1.28,Mild,23566,301
Tomato___Bacterial_spot,Bacterial Spot,d8d3c759-4242-42c0-9be5-b3177f2664be___GCREC_Bact.Sp 5953_final_masked.jpg,0.0,0.0,Mild,28208,0
Tomato___Bacterial_spot,Bacterial Spot,da934beb-3546-440a-83a8-016d9d480824___GCREC_Bact.Sp 3464_final_masked.jpg,0.0018,0.18,Mild,26680,48
Tomato___Bacterial_spot,Bacterial Spot,daa61ed9-a0bf-4533-841e-1a43633e86a1___GCREC_Bact.Sp 5649_final_masked.jpg,0.0,0.0,Mild,29030,0
Tomato___Bacterial_spot,Bacterial Spot,de0200a0-173c-401f-827b-2a12d639a744___GCREC_Bact.Sp 3072_final_masked.jpg,0.0,0.0,Mild,24535,0
Tomato___Bacterial_spot,Bacterial Spot,e0d1e45d-0a01-4d79-8766-11d842cc7155___UF.GRC_BS_Lab Leaf 8804_final_masked.jpg,0.0492,4.92,Mild,22817,1122
Tomato___Bacterial_spot,Bacterial Spot,e33fbdfb-6511-47b7-9dc2-afa294f3ba0e___UF.GRC_BS_Lab Leaf 1045_final_masked.jpg,0.148,14.8,Mild,22113,3273
Tomato___Bacterial_spot,Bacterial Spot,e4e11751-2c64-491f-9aa3-26677932f65c___UF.GRC_BS_Lab Leaf 0636_final_masked.jpg,0.1034,10.34,Mild,22577,2334
Tomato___Bacterial_spot,Bacterial Spot,ea5724f3-d1ff-4a32-b679-b08bdfc9b997___GCREC_Bact.Sp 3662_final_masked.jpg,0.0011,0.11,Mild,28133,30
Tomato___Bacterial_spot,Bacterial Spot,ee5192e5-c7fc-402f-ac78-6ae93fd85032___GCREC_Bact.Sp 3323_final_masked.jpg,0.0048,0.48,Mild,27368,130
Tomato___Bacterial_spot,Bacterial Spot,f3febe3a-8dfb-442c-a227-8c77d63e7252___GCREC_Bact.Sp 5823_final_masked.jpg,0.0002,0.02,Mild,25767,5
Tomato___Bacterial_spot,Bacterial Spot,f510ac20-c0b4-4369-995a-08388b9103cc___GCREC_Bact.Sp 6074_final_masked.jpg,0.0014,0.14,Mild,23785,34
Tomato___Bacterial_spot,Bacterial Spot,f68ccc94-dbbb-43e3-a7fb-c298c0f5830c___GCREC_Bact.Sp 6057_final_masked.jpg,0.0,0.0,Mild,20258,0
Tomato___Bacterial_spot,Bacterial Spot,f9ca8392-73cf-4045-96f4-5fe481418df1___GCREC_Bact.Sp 3165_final_masked.jpg,0.0,0.0,Mild,26770,0
Tomato___Bacterial_spot,Bacterial Spot,f9fc3cdb-7205-4898-ae4d-0125ffab1066___GCREC_Bact.Sp 5917_final_masked.jpg,0.0118,1.18,Mild,22676,268
Tomato___Bacterial_spot,Bacterial Spot,fae0f0ee-3a9a-403f-b95f-97caa0efaabd___GCREC_Bact.Sp 5615_final_masked.jpg,0.0,0.0,Mild,21325,0
